"GID"	"INC"	"DIS"	"SEV"	"VSK"	"DON"	"HD"
"MN15219-2"	58.9439	5.3001	10.8528	19.9612	4.642	174.255
"MN15501-4"	59.4001	6.2405	11.1639	18.4523	5.2185	177.5884
"MN16028"	56.3079	8.8068	14.492	16.5876	7.8418	172.6141
"MN16040"	42.8825	1.4767	4.6329	19.3412	7.9263	175.6141
"MN16103-1"	50.6575	3.7881	8.1188	18.8273	7.0441	169.526
"MN16262-3"	46.0211	2.9809	7.0841	21.7297	9.3121	174.9474
"MN16277-3"	44.215	2.6564	7.7889	19.2331	4.8287	169.3594
"MN16317-5"	26.9597	0.6495	3.6002	15.7982	12.5401	175.9474
"MN16340-8"	52.2224	4.1989	8.172	21.4959	5.7612	170.6927
"MN16360-1"	50.2136	5.1744	9.0574	19.061	6.6134	173.1927
"MN16408-5"	43.5398	2.7789	6.3056	17.582	6.3573	174.026
"MN17033-1"	39.2822	3.7945	12.7869	24.1201	4.4583	176.0175
"MN17038-5"	54.2342	9.4565	14.1232	23.9299	9.8523	175.0175
"MN17065-2"	48.5897	4.2885	9.2147	25.376	7.3394	170.6951
"MN17117-5"	59.5136	7.653	12.278	22.6268	8.1903	168.9569
"MN17118-1"	57.2857	7.0773	12.4711	19.2619	4.6537	168.7952
"MN17120-1"	50.8695	4.5944	8.8943	23.4365	8.0939	168.8649
"MN17271-1"	17.6702	2.3876	10.4905	22.5487	3.2439	175.0175
"MN17332-2"	53.5518	5.8732	10.0188	23.955	6.8813	175.5175
"MN17379-4"	41.5857	3.597	5.8157	17.1862	3.5576	170.2609
"MN18032-5"	58.189	8.4461	15.6684	21.0766	5.5301	169.9971
"MN18081-5"	45.9377	5.5828	10.8658	28.4827	7.9801	170.0285
"MN18091-2"	55.1916	7.9845	13.4064	22.6912	10.4735	177.6774
"MN18106-2"	67.5117	7.0932	12.1535	23.4044	9.0306	174.5971
"MN18163-5"	44.0863	3.563	7.8602	22.117	2.7317	170.1951
"MN18176-1"	50.6059	6.2174	13.1021	28.6073	7.5801	172.9685
"MN18179-4"	50.3859	4.8785	9.6807	24.9449	7.9678	171.8618
"MN18292-3"	60.4063	7.2493	12.0313	30.964	8.1239	172.6951
"MN19108-1"	63.6732	6.8807	10.5868	34.2239	9.9024	168.9259
"MN19114-3"	64.1285	6.7123	10.8937	23.9391	9.7064	175.1353
"MN19138-2"	63.6732	5.1464	5.776	30.0308	7.3857	169.1644
"MN19146-4"	29.8033	2.0132	5.7629	20.6779	5.1369	173.0197
"MN19257-1"	52.3438	4.5328	8.7926	14.6678	6.0951	176.4201
"MN19342-1"	52.9836	5.9787	10.9129	28.6453	7.6875	172.4081
"MN19358-1"	63.6732	8.7671	14.807	33.3025	7.4792	169.0875
"MN20038-3"	63.6732	13.2499	20.4955	37.285	10.9514	169.3469
"MN20049-1"	63.6732	4.7825	7.0441	38.7944	6.9752	169.2803
"MN20080-3"	48.7404	2.871	6.6507	17.7609	6.1191	174.4081
"MN20081-2"	47.2873	3.3011	7.3481	19.8171	5.3918	172.4081
"MN20171-1"	57.0492	2.5253	5.5533	13.6138	5.4272	171.9636
"MN20172-2"	57.0492	5.6765	10.0243	13.8423	7.9285	175.6303
"MN20218-3"	55.716	4.9841	10.4825	41.09	7.5002	170.1803
"MN20231-2"	22.0738	2.0431	6.6184	22.0444	6.1956	171.1891
"MN2514"	45.7602	4.8473	8.4294	35.4629	NA	NA
"MN2538"	37.0675	6.509	25.2415	24.6711	NA	NA
"MN2540"	38.1883	3.8843	14.5283	31.0077	NA	NA
"MN88076"	74.0833	19.9749	22.2505	NA	NA	NA
"MN88334"	51.3871	13.9803	24.4807	NA	NA	NA
"MN88415"	35.1047	8.3707	20.6043	NA	NA	NA
"MN89028"	21.3033	3.9534	13.8515	NA	NA	NA
"MN89103"	49.8723	11.4952	10.2959	NA	NA	NA
"MN89408"	68.3069	14.8959	19.3469	NA	NA	NA
"MN90071"	53.3326	22.0459	20.0226	NA	NA	NA
"MN90114"	53.6467	23.4881	20.0226	NA	NA	NA
"MN90138"	74.5376	19.942	18.0466	52.9867	NA	NA
