Class	Initial_GID	Initial_SRC	Compiled_SRC	First_Year_URN_correctedRelease	Final_GID	Pedigree	FINAL_GID_GENO_MATCH	If_Genotyped	First_Year_URN	decade
URN_Pre68	CItr11708	North Dakota	ND	1935	Rival	Ceres x Hope-Florence	RIVAL	YES	1935	1930s
URN_Pre68	CItr11712	North Dakota	ND	1935	Vesta	Ceres x Hope-Florence	VESTA	YES	1935	1930s
URN_Pre68	CItr11789	Minnesota	MN	1936	II-28-16	H-44 x D.C. (II-21-7)	II-28-16	YES	1936	1930s
URN_Pre68	CItr11791	Minnesota	MN	1936	II-28-61	H-44 x Thatcher	II-28-61	YES	1936	1930s
URN_Pre68	CItr11790	Minnesota	MN	1936	II-28-68	H-44 x D.C. (II-21-7)	II-28-68	YES	1936	1930s
URN_Pre68	CItr11784	South Dakota	SD	1936	II-32-16-4	Hope-Reliance x Prelude	II-32-16-4	YES	1936	1930s
URN_Pre68	CItr11788	North Dakota	ND	1936	N1248	Reliance x Hope	N1248	YES	1936	1930s
URN_Pre68	CItr11787	North Dakota	ND	1936	N1249	Hope x Ceres	N1249	YES	1936	1930s
URN_Pre68	CItr11786	North Dakota	ND	1936	N1250	Hope x Ceres	N1250	YES	1936	1930s
URN_Pre68	CItr11716	North Dakota	ND	1936	N1289	Ceres x Hope	N1289	YES	1936	1930s
URN_Pre68	CItr11715	North Dakota	ND	1936	N1308	Komar x Hussar	N1308	YES	1936	1930s
URN_Pre68	CItr11779	North Dakota	ND	1936	Ns.2687	Ceres x Hope-Florence	NS.2687	YES	1936	1930s
URN_Pre68	CItr11721	"Manitoba, Can"	AAFC-CA	1936	RL1114	Pentad x Marquis	RL1114	YES	1936	1930s
URN_Pre68	CItr11781	South Dakota	SD	1936	Sel.1517	H-44 x Marquis	SEL.1517	YES	1936	1930s
URN_Pre68	CItr11782	South Dakota	SD	1936	Sel.1552-4	H-44 x Marquis	SEL.1552-4	YES	1936	1930s
URN_Pre68	CItr11871	Minnesota	MN	1937	II-28-102	H-44 x Double Cross (II-21-7)	II-28-102	YES	1937	1930s
URN_Pre68	CItr11872	North Dakota	ND	1937	Mercury	Ceres x Hope-Florence	MERCURY	YES	1937	1930s
URN_Pre68	CItr11870	North Dakota	ND	1937	Merit	H-44 x Ceres	MERIT	YES	1937	1930s
URN_Pre68	CItr11873	North Dakota	ND	1937	N1328	Reliance x N.No. 1110	N1328	YES	1937	1930s
URN_Pre68	CItr11868	"Manitoba, Can"	AAFC-CA	1937	RL1097	H-44 x Reward	RL1097	YES	1937	1930s
URN_Pre68	CItr11892	Minnesota	MN	1938	II-28-27	H-44 x Double Cross	II-28-27	YES	1938	1930s
URN_Pre68	CItr11897	South Dakota	SD	1938	II-29-188-3	Hope x Ceres	II-29-188-3	YES	1938	1930s
URN_Pre68	CItr11889	Minnesota	MN	1938	II-29-49	H-44 x Thatcher	II-29-49	YES	1938	1930s
URN_Pre68	CItr11890	Minnesota	MN	1938	II-29-52	H-44 x Thatcher	II-29-52	YES	1938	1930s
URN_Pre68	CItr11891	Minnesota	MN	1938	II-29-53	H-44 x Thatcher	II-29-53	YES	1938	1930s
URN_Pre68	CItr11884	North Dakota	ND	1938	N1330	Reliance x N.No. 1110	N1330	YES	1938	1930s
URN_Pre68	CItr11883	North Dakota	ND	1938	N1344	H-44 x Ceres	N1344	YES	1938	1930s
URN_Pre68	CItr11882	North Dakota	ND	1938	N1349	H-44 x Ceres	N1349	YES	1938	1930s
URN_Pre68	CItr11895	North Dakota	ND	1938	Ns.2743	Ceres-D.C. X C. X H.-F. (R.L. 625 X 60.4.12)	NS.2743	YES	1938	1930s
URN_Pre68	CItr11894	North Dakota	ND	1938	Ns.2746	Ceres-D.C. X C. X H.-F. (R.L. 625 X 60.4.12)	NS.2746	YES	1938	1930s
URN_Pre68	CItr11893	North Dakota	ND	1938	Ns.2748	Ceres-D.C. X C. X H.-F. (R.L. 625 X 60.4.12)	NS.2748	YES	1938	1930s
URN_Pre68	CItr11899	North Dakota	ND	1938	Ns.2811	Ceres-D.C. x C.H.F.	NS.2811	YES	1938	1930s
URN_Pre68	CItr11783	South Dakota	SD	1938	Sel.1552-9	H-44 x Marquis	SEL.1552-9	YES	1938	1930s
URN_Pre68	CItr11898	Minnesota	MN	1939	II-29-60	H-44 x Thatcher	II-29-60	YES	1939	1930s
URN_Pre68	CItr12008	North Dakota	ND	1939	Mida	Ceres-Double Cross x Ceres-Hope-Florence	MIDA	YES	1939	1930s
URN_Pre68	CItr11934	North Dakota	ND	1939	N1139-22	Reliance x Hope	N1139-22	YES	1939	1930s
URN_Pre68	CItr11948	North Dakota	ND	1939	N1441	N.No. 1131 x Pilot	N1441	YES	1939	1930s
URN_Pre68	CItr11949	North Dakota	ND	1939	N1448	Comet-1110 x H-44-Ceres	N1448	YES	1939	1930s
URN_Pre68	CItr11930	North Dakota	ND	1939	N1465	Comet x Pilot	N1465	YES	1939	1930s
URN_Pre68	CItr11931	North Dakota	ND	1939	N1466	Comet x N.No. 1110	N1466	YES	1939	1930s
URN_Pre68	CItr11941	North Dakota	ND	1939	Ns.2744	Ceres-Double Cross x Ceres-Hope-Florence	NS.2744	YES	1939	1930s
URN_Pre68	CItr12006	North Dakota	ND	1939	Ns.2800	Ceres-Double Cross x Ceres-Hope-Florence	NS.2800	YES	1939	1930s
URN_Pre68	CItr12007	North Dakota	ND	1939	Ns.2809	Ceres-Double Cross x Ceres-Hope-Florence	NS.2809	YES	1939	1930s
URN_Pre68	CItr12005	North Dakota	ND	1939	Ns.No.2747	Ceres-Double Cross x Ceres-Hope-Florence	NS.NO.2747	YES	1939	1930s
URN_Pre68	CItr11945	North Dakota	ND	1939	PilotSelection13	Pilot-13	PILOTSELECTION13	YES	1939	1930s
URN_Pre68	CItr12009	South Dakota	SD	1939	SD1464-II-52-4-9	Reliance-Hope x Reward	SD1464-II-52-4-9	YES	1939	1930s
URN_Pre68	CItr12042	Minnesota	MN	1940	I-38-3	H-44 x Marquis	I-38-3	YES	1940	1940s
URN_Pre68	CItr12040	Minnesota	MN	1940	II-29-57	H-44 x Thatcher	II-29-57	YES	1940	1940s
URN_Pre68	CItr12041	Minnesota	MN	1940	II-29-72	H-44 x Thatcher	II-29-72	YES	1940	1940s
URN_Pre68	CItr12044	Minnesota	MN	1940	II-31-14	Hope x Thatcher3	II-31-14	YES	1940	1940s
URN_Pre68	CItr12043	Minnesota	MN	1940	II-31-6	Hope x Thatcher3	II-31-6	YES	1940	1940s
URN_Pre68	CItr12036	North Dakota	ND	1940	Merit3	Merit-3	MERIT3	YES	1940	1940s
URN_Pre68	CItr12048	North Dakota	ND	1940	N1342-24	H-44 x Ceres	N1342-24	YES	1940	1940s
URN_Pre68	CItr12047	Montana	MT	1940	N1523	Comet-N.No. 1121 x Ceres-Hope-Florence	N1523	YES	1940	1940s
URN_Pre68	CItr12037	North Dakota	ND	1940	N1530	H-44-Ceres x Thatcher	N1530	YES	1940	1940s
URN_Pre68	CItr12039	North Dakota	ND	1940	N1534	Ceres x Hope-Ridit	N1534	YES	1940	1940s
URN_Pre68	CItr12038	North Dakota	ND	1940	N1543	Hope x Supreme	N1543	YES	1940	1940s
URN_Pre68	CItr12049	North Dakota	ND	1940	N1568	Comet x Reliance-Hope	N1568	YES	1940	1940s
URN_Pre68	CItr12045	North Dakota	ND	1940	Ns.2871	Mercury2 x Comet-1018	NS.2871	YES	1940	1940s
URN_Pre68	CItr12046	North Dakota	ND	1940	Ns.2901	Mercury2 x Comet-1018	NS.2901	YES	1940	1940s
URN_Pre68	CItr12012	"Manitoba, Can"	AAFC-CA	1940	RL1333	Marquis2 x H-44	RL1333	YES	1940	1940s
URN_Pre68	CItr12058	South Dakota	SD	1940	SD1463-26	Hope x Ceres	SD1463-26	YES	1940	1940s
URN_Pre68	CItr12059	South Dakota	SD	1940	SD1464-18	Reliance-Hope x Reward	SD1464-18	YES	1940	1940s
URN_Pre68	CItr12053	North Dakota	ND	1941	Cadet	Merit x Thatcher	CADET	YES	1941	1940s
URN_Pre68	CItr12050	North Dakota	ND	1941	N1520	Reliance-Hope x Comet-N.No. 1121	N1520	YES	1941	1940s
URN_Pre68	CItr12052	North Dakota	ND	1941	N1596	Comet-N.No. 1110 x H-44-Ceres	N1596	YES	1941	1940s
URN_Pre68	CItr12198	North Dakota	ND	1941	Ns.2754	Ceres-Double Cross x Ceres-Hope-Florence	NS.2754	YES	1941	1940s
URN_Pre68	CItr12265	Wisconsin	OTH	1942	Henry	Illinois No. 1-Hope x Webster-Resaca	HENRY	YES	1942	1940s
URN_Pre68	CItr12273	South Dakota	SD	1942	Rushmore	Rival x Thatcher	RUSHMORE	YES	1942	1940s
URN_Pre68	CItr12272	South Dakota	SD	1942	SD2259	Rival x Thatcher	SD2259	YES	1942	1940s
URN_Pre68	CItr12304	Minnesota	MN	1943	II-36-1	H-44 x Marquis x Thatcher	II-36-1	YES	1943	1940s
URN_Pre68	CItr12309	Minnesota	MN	1943	II-36-13	H-44 x Marquis x Thatcher	II-36-13	YES	1943	1940s
URN_Pre68	CItr12307	Minnesota	MN	1943	II-36-24	Ceres-Hope-Florence x Thatcher	II-36-24	YES	1943	1940s
URN_Pre68	CItr12263	North Dakota	ND	1943	N.1556	Ceres x Pilot	N.1556	YES	1943	1940s
URN_Pre68	CItr12303	North Dakota	ND	1943	N.1756	Pilot-13 x Ns. 2742	N.1756	YES	1943	1940s
URN_Pre68	CItr12316	North Dakota	ND	1943	N1750	Pilot-13 x Ns. 2742	N1750	YES	1943	1940s
URN_Pre68	CItr12317	North Dakota	ND	1943	N1753	Regent x Pilot-13	N1753	YES	1943	1940s
URN_Pre68	CItr12315	North Dakota	ND	1943	N1764	Merit x Pilot	N1764	YES	1943	1940s
URN_Pre68	CItr12310	North Dakota	ND	1943	Ns.2822.6	Mercury2 x Comet-1018 (1383)	NS.2822.6	YES	1943	1940s
URN_Pre68	CItr12302	"Manitoba, Can"	AAFC-CA	1943	RL1527	H-44-Marquis	RL1527	YES	1943	1940s
URN_Pre68	CItr12356	Minnesota	MN	1944	II-36-12	H-44-Marquis x Thatcher	II-36-12	YES	1944	1940s
URN_Pre68	CItr12357	Minnesota	MN	1944	II-36-67	Ceres-Hope-Florence x Thatcher	II-36-67	YES	1944	1940s
URN_Pre68	CItr12367	North Dakota	ND	1944	N1535	Ceres x Pilot	N1535	YES	1944	1940s
URN_Pre68	CItr12321	North Dakota	ND	1944	N1752	Mida x Cadet	N1752	YES	1944	1940s
URN_Pre68	CItr12352	North Dakota	ND	1944	N1827	Pilot x Merit	N1827	YES	1944	1940s
URN_Pre68	CItr12353	North Dakota	ND	1944	N1829	Pilot x 1315	N1829	YES	1944	1940s
URN_Pre68	CItr12355	North Dakota	ND	1944	N1860	Merit x Pilot	N1860	YES	1944	1940s
URN_Pre68	CItr12359	North Dakota	ND	1944	N3095	2809-2822 x Premier	N3095	YES	1944	1940s
URN_Pre68	CItr12360	North Dakota	ND	1944	Ns.3096	2809 x 2822	NS.3096	YES	1944	1940s
URN_Pre68	CItr12358	North Dakota	ND	1944	Ns.3111	Ceres-D.C. (R.L. 625) x Mercury	NS.3111	YES	1944	1940s
URN_Pre68	CItr12434	Minnesota	MN	1945	II-36-19	H-44-Marquis x Thatcher	II-36-19	YES	1945	1940s
URN_Pre68	CItr12433	Minnesota	MN	1945	II-38-14	Mercury x H-44-Thatcher	II-38-14	YES	1945	1940s
URN_Pre68	CItr12432	Minnesota	MN	1945	II-38-19	Mercury x H-44-Thatcher	II-38-19	YES	1945	1940s
URN_Pre68	CItr12430	North Dakota	ND	1945	N.1843	Regent x Mida	N.1843	YES	1945	1940s
URN_Pre68	CItr12324	North Dakota	ND	1945	N1769	Pilot x Mida	N1769	YES	1945	1940s
URN_Pre68	CItr12363	North Dakota	ND	1945	N1831	Mida x Cadet	N1831	YES	1945	1940s
URN_Pre68	CItr12366	North Dakota	ND	1945	N1907	Reliance-Hope (1131) x Pilot	N1907	YES	1945	1940s
URN_Pre68	CItr12436	North Dakota	ND	1945	Ns.3120	Ns. 2822 x Premier	NS.3120	YES	1945	1940s
URN_Pre68	CItr12437	North Dakota	ND	1945	Ns.3129	Ns. 2809 x Ns. 2822	NS.3129	YES	1945	1940s
URN_Pre68	CItr12438	North Dakota	ND	1945	Ns.3150	Ns. 2809-2822 x Premier	NS.3150	YES	1945	1940s
URN_Pre68	CItr12439	North Dakota	ND	1945	Ns.3172	Ns. 2822 x Ns. 2809	NS.3172	YES	1945	1940s
URN_Pre68	CItr12440	North Dakota	ND	1945	Ns.3175	Ns. 2744 x Ns. 2809	NS.3175	YES	1945	1940s
URN_Pre68	CItr12435	"Saskatchewan, Can"	AAFC-CA	1945	Rescue	Apex x S-615	RESCUE	YES	1945	1940s
URN_Pre68	CItr12485	Minnesota	MN	1946	II-39-27	Thatcher x Suprize	II-39-27	YES	1946	1940s
URN_Pre68	CItr12486	Minnesota	MN	1946	II-39-42	Hope x Timstein	II-39-42	YES	1946	1940s
URN_Pre68	CItr12487	Minnesota	MN	1946	II-39-44	Hope x Timstein	II-39-44	YES	1946	1940s
URN_Pre68	CItr12442	North Dakota	ND	1946	LD55	Pilot x Merit	LD55	YES	1946	1940s
URN_Pre68	CItr12488	Minnesota	MN	1946	Lee	Hope x Timstein	LEE	YES	1946	1940s
URN_Pre68	CItr12431	North Dakota	ND	1946	N.1840	1556 x 1563	N.1840	YES	1946	1940s
URN_Pre68	CItr12475	North Dakota	ND	1946	N1952	Regent x Pilot	N1952	YES	1946	1940s
URN_Pre68	CItr12445	North Dakota	ND	1946	N1953	Pilot x Mida	N1953	YES	1946	1940s
URN_Pre68	CItr12490	North Dakota	ND	1946	N1969	Pilot x Merit	N1969	YES	1946	1940s
URN_Pre68	CItr12476	North Dakota	ND	1946	N2014	Pilot x 1514	N2014	YES	1946	1940s
URN_Pre68	CItr12491	North Dakota	ND	1946	N2088	1449 x Pilot	N2088	YES	1946	1940s
URN_Pre68	CItr12489	North Dakota	ND	1946	Ns.3190	Ns. 2744 x Ns. 2809	NS.3190	YES	1946	1940s
URN_Pre68	CItr12484	Wisconsin	OTH	1946	Russell	Thatcher x W38-Hope	RUSSELL	YES	1946	1940s
URN_Pre68	CItr12545	Minnesota	MN	1947	II-39-47	Hope x Timstein	II-39-47	YES	1947	1940s
URN_Pre68	CItr12546	Minnesota	MN	1947	II-39-51	Hope x Timstein	II-39-51	YES	1947	1940s
URN_Pre68	CItr12547	Minnesota	MN	1947	II-39-57	Premier x Timstein	II-39-57	YES	1947	1940s
URN_Pre68	CItr12544	Minnesota	MN	1947	II-42-1	Timstein x Mida	II-42-1	YES	1947	1940s
URN_Pre68	CItr12542	North Dakota	ND	1947	N1843-41	Regent x Mida	N1843-41	YES	1947	1940s
URN_Pre68	CItr12543	North Dakota	ND	1947	N2083	1552 x Mida	N2083	YES	1947	1940s
URN_Pre68	CItr12540	North Dakota	ND	1947	N2104	Merit2 x Thatcher	N2104	YES	1947	1940s
URN_Pre68	CItr12541	North Dakota	ND	1947	N2105	1691 x 1756	N2105	YES	1947	1940s
URN_Pre68	CItr12548	North Dakota	ND	1947	N3264	Ns. 2744 x Ns. 2809	N3264	YES	1947	1940s
URN_Pre68	CItr12499	South Dakota	SD	1947	SD1691	H.R.R. x Mercury	SD1691	YES	1947	1940s
URN_Pre68	CItr12641	Minnesota	MN	1948	II-39-8	Thatcher x Surpresa	II-39-8	YES	1948	1940s
URN_Pre68	CItr12634	Minnesota	MN	1948	II-42-22	Timstein x Newthatch	II-42-22	YES	1948	1940s
URN_Pre68	CItr12642	North Dakota	ND	1948	Ns.3269	Ns 2744 x 2809	NS.3269	YES	1948	1940s
URN_Pre68	CItr12643	North Dakota	ND	1948	Ns.3274	Ns 2744 x 2809	NS.3274	YES	1948	1940s
URN_Pre68	CItr12644	North Dakota	ND	1948	Ns.3282	Ns 2744 x 2809	NS.3282	YES	1948	1940s
URN_Pre68	CItr12645	North Dakota	ND	1948	Ns.3284	Ns 2744 x 2809	NS.3284	YES	1948	1940s
URN_Pre68	CItr12646	North Dakota	ND	1948	Ns.3285	Ns 2744 x 2809	NS.3285	YES	1948	1940s
URN_Pre68	CItr12639	"Saskatchewan, Can"	AAFC-CA	1948	Sask.2176	Thatcher x Apex	SASK.2176	YES	1948	1940s
URN_Pre68	CItr12649	Wisconsin	OTH	1948	Wisc.246	Thatcher x W38-Hope	WISC.246	YES	1948	1940s
URN_Pre68	CItr12745	North Dakota	ND	1949	1359A-2-10-1-2-2	Regent x 1315	1359A-2-10-1-2-2	YES	1949	1940s
URN_Pre68	CItr12732	North Dakota	ND	1949	1416A-1-8-3-2	Pilot2 x Merit	1416A-1-8-3-2	YES	1949	1940s
URN_Pre68	CItr12733	North Dakota	ND	1949	1469A-1-14-1-2	1764 x Henry	1469A-1-14-1-2	YES	1949	1940s
URN_Pre68	CItr12739	Minnesota	MN	1949	II-42-30	Timstein x Newthatch	II-42-30	YES	1949	1940s
URN_Pre68	CItr12740	Minnesota	MN	1949	II-42-38	Timstein x Newthatch	II-42-38	YES	1949	1940s
URN_Pre68	CItr12746	North Dakota	ND	1949	N.1924.44	1552 x Mida	N.1924.44	YES	1949	1940s
URN_Pre68	CItr12648	North Dakota	ND	1949	N1996	Pilot x Merit	N1996	YES	1949	1940s
URN_Pre68	CItr12549	North Dakota	ND	1949	N2092	1750 x 1753	N2092	YES	1949	1940s
URN_Pre68	CItr12551	North Dakota	ND	1949	N2095	1750 x 1753	N2095	YES	1949	1940s
URN_Pre68	CItr12741	North Dakota	ND	1949	Ns.3291	Ns. 2744 x 2809	NS.3291	YES	1949	1940s
URN_Pre68	CItr12742	North Dakota	ND	1949	Ns.3684	Am10 x Newthatch	NS.3684	YES	1949	1940s
URN_Pre68	CItr12743	North Dakota	ND	1949	Ns.3685	Am10 x Newthatch	NS.3685	YES	1949	1940s
URN_Pre68	CItr12744	North Dakota	ND	1949	Ns.3687	Am10 x Newthatch	NS.3687	YES	1949	1940s
URN_Pre68	CItr12788	North Dakota	ND	1950	1396A-1-1-3-2-1-1	1585 x Cadet	1396A-1-1-3-2-1-1	YES	1950	1950s
URN_Pre68	CItr12734	North Dakota	ND	1950	1475A-3-1-2-1	1750 x Timstein	1475A-3-1-2-1	YES	1950	1950s
URN_Pre68	CItr12778	North Dakota	ND	1950	1475A-3-1-3-1	1750 x Timstein	1475A-3-1-3-1	YES	1950	1950s
URN_Pre68	CItr12781	North Dakota	ND	1950	1496A-1-6-1	Henry x Cadet	1496A-1-6-1	YES	1950	1950s
URN_Pre68	CItr12779	North Dakota	ND	1950	1496A-1-7-2-1	Henry x Cadet	1496A-1-7-2-1	YES	1950	1950s
URN_Pre68	CItr12777	North Dakota	ND	1950	1497A-1-31-3-1	Henry x 1907	1497A-1-31-3-1	YES	1950	1950s
URN_Pre68	CItr12782	Minnesota	MN	1950	II-39-7	Thatcher x Surpresa	II-39-7	YES	1950	1950s
URN_Pre68	CItr12783	Minnesota	MN	1950	II-42-37	Timstein x Newthatch	II-42-37	YES	1950	1950s
URN_Pre68	CItr12784	Minnesota	MN	1950	II-43-19	Newth.-Tims. X Premier	II-43-19	YES	1950	1950s
URN_Pre68	CItr12785	North Dakota	ND	1950	N.2223	1556 x Mida	N.2223	YES	1950	1950s
URN_Pre68	CItr12637	North Dakota	ND	1950	N2232	1764 x Henry	N2232	YES	1950	1950s
URN_Pre68	CItr12786	North Dakota	ND	1950	Ns.3679	Am10 x Newthatch	NS.3679	YES	1950	1950s
URN_Pre68	CItr12787	North Dakota	ND	1950	Ns.3681	Am10 x Newthatch	NS.3681	YES	1950	1950s
URN_Pre68	CItr12967	North Dakota	ND	1951	N2292	1898 x Lee	N2292	YES	1951	1950s
URN_Pre68	CItr12899	North Dakota	ND	1951	Ns.3755-3-6-56	Am2 x Newthatch	NS.3755-3-6-56	YES	1951	1950s
URN_Pre68	CItr12974	Montana	MT	1952	Centana	Pilot2 x Thatcher	CENTANA	YES	1952	1950s
URN_Pre68	CItr13030	Minnesota	MN	1952	II-46-13	Frontana x Thatcher	II-46-13	YES	1952	1950s
URN_Pre68	CItr13029	Minnesota	MN	1952	II-46-3	Frontana x Thatcher	II-46-3	YES	1952	1950s
URN_Pre68	CItr12972	South Dakota	SD	1952	PW36	Rushmore2 x Surpresa	PW36	YES	1952	1950s
URN_Pre68	CItr13047	Minnesota	MN	1953	II-44-56	Kenya Gular-Pilot x K58-Newthatch	II-44-56	YES	1953	1950s
URN_Pre68	CItr13046	Minnesota	MN	1953	II-46-63	Frontana x Thatcher	II-46-63	YES	1953	1950s
URN_Pre68	CItr13041	Montana	MT	1953	N2389	1520 x 1752	N2389	YES	1953	1950s
URN_Pre68	CItr13099	Minnesota	MN	1953	Willett	Willet	WILLETT	YES	1953	1950s
URN_Pre68	CItr13157	North Dakota	ND	1954	Conley	R.L. 2563 x Lee	CONLEY	YES	1954	1950s
URN_Pre68	CItr13201	Minnesota	MN	1954	II-47-10	Lee x Frontana	II-47-10	YES	1954	1950s
URN_Pre68	CItr13154	Minnesota	MN	1954	II-50-17	Frontana x II-44-29	II-50-17	YES	1954	1950s
URN_Pre68	CItr13203	Minnesota	MN	1954	II-50-32	Frontana x II-44-29	II-50-32	YES	1954	1950s
URN_Pre68	CItr13159	North Dakota	ND	1954	ND3	R.L. 2563 x Lee	ND3	YES	1954	1950s
URN_Pre68	CItr13152	North Dakota	ND	1954	Ns.3880.127	Lee x Mida sib	NS.3880.127	YES	1954	1950s
URN_Pre68	CItr13043	North Dakota	ND	1954	Ns.3880.227	Lee x Mida sib	NS.3880.227	YES	1954	1950s
URN_Pre68	CItr13243	Montana	MT	1955	B52-119	Lee x N.N. 1831	B52-119	YES	1955	1950s
URN_Pre68	CItr13242	Montana	MT	1955	B52-91	N.N. 1953 x Lee	B52-91	YES	1955	1950s
URN_Pre68	CItr13219	"Ciudad de Mexico, Mexico"	OTH	1955	Chapingo53	Chapingo 53	CHAPINGO53	YES	1955	1950s
URN_Pre68	CItr13212	Minnesota	MN	1955	II-50-29	Frontana x K58-Newthatch	II-50-29	YES	1955	1950s
URN_Pre68	CItr13213	Minnesota	MN	1955	II-50-37	Frontana x Mida-K117A	II-50-37	YES	1955	1950s
URN_Pre68	CItr13214	Minnesota	MN	1955	II-50-41	Frontana x Mida-K117A	II-50-41	YES	1955	1950s
URN_Pre68	CItr13215	Minnesota	MN	1955	II-50-53	Frontana x Mida-K117A	II-50-53	YES	1955	1950s
URN_Pre68	CItr13216	Minnesota	MN	1955	II-50-65	Frontana x K58-Newthatch	II-50-65	YES	1955	1950s
URN_Pre68	CItr13217	Minnesota	MN	1955	II-50-75	Frontana x K58-Newthatch	II-50-75	YES	1955	1950s
URN_Pre68	CItr13205	North Dakota	ND	1955	ND12	Rushmore x Kenya Farmer	ND12	YES	1955	1950s
URN_Pre68	CItr13206	North Dakota	ND	1955	ND15	Rushmore x Kenya Farmer	ND15	YES	1955	1950s
